Pattern, Target, Solution size, Nodes, Cut branches, Conflicts, Elapsed time, Best time
./data/si/si2_bvg_b03_200/si2_b03_m200.02/pattern, ./data/si/si2_bvg_b03_200/si2_b03_m200.02/target, 40, 283, 243, 1, 2, 1
./data/si/si2_bvg_b03_200/si2_b03_m200.09/pattern, ./data/si/si2_bvg_b03_200/si2_b03_m200.09/target, 40, 283, 243, 1, 2, 1
./data/si/si2_bvg_b03_200/si2_b03_m200.06/pattern, ./data/si/si2_bvg_b03_200/si2_b03_m200.06/target, 40, 283, 243, 0, 2, 1
./data/si/si2_bvg_b06_200/si2_b06_m200.06/pattern, ./data/si/si2_bvg_b06_200/si2_b06_m200.06/target, 40, 286, 246, 5, 2, 1
./data/si/si2_bvg_b03_400/si2_b03_m400.04/pattern, ./data/si/si2_bvg_b03_400/si2_b03_m400.04/target, 80, 563, 483, 0, 9, 6
./data/si/si2_bvg_b03_200/si2_b03_m200.00/pattern, ./data/si/si2_bvg_b03_200/si2_b03_m200.00/target, 40, 283, 243, 0, 2, 1
./data/si/si2_bvg_b09m_200/si2_b09m_m200.00/pattern, ./data/si/si2_bvg_b09m_200/si2_b09m_m200.00/target, 40, 505, 387, 231, 3, 2
./data/si/si2_bvg_b03m_200/si2_b03m_m200.02/pattern, ./data/si/si2_bvg_b03m_200/si2_b03m_m200.02/target, 40, 548, 482, 208, 3, 2
./data/si/si2_bvg_b06_400/si2_b06_m400.03/pattern, ./data/si/si2_bvg_b06_400/si2_b06_m400.03/target, 80, 566, 486, 5, 10, 7
./data/si/si2_bvg_b06m_200/si2_b06m_m200.05/pattern, ./data/si/si2_bvg_b06m_200/si2_b06m_m200.05/target, 40, 322, 277, 219, 2, 1
./data/si/si2_bvg_b03_200/si2_b03_m200.05/pattern, ./data/si/si2_bvg_b03_200/si2_b03_m200.05/target, 40, 283, 243, 1, 2, 1
./data/si/si2_bvg_b09_400/si2_b09_m400.09/pattern, ./data/si/si2_bvg_b09_400/si2_b09_m400.09/target, 80, 571, 491, 10, 9, 6
